A	B	DA	DB	R	ID	PA	PB
9000	10000	0	1825	1	10	1	1
375	500	0	1825	0	10	1	1
350	500	0	1825	0	10	1	1
700	1000	0	1825	1	10	1	1
750	1000	0	1825	1	10	1	1
800	1000	0	1825	1	10	1	1
900	1000	0	1825	0	10	1	1
950	1000	0	1825	0	10	1	1
325	500	0	1825	1	10	1	1
400	500	0	1825	0	10	1	1
75	100	0	730	1	10	1	1
60	100	0	1825	1	10	1	1
80	100	0	730	0	10	1	1
425	500	0	1825	1	10	1	1
450	500	0	1825	0	10	1	1
9500	10000	0	1825	0	10	1	1
475	500	0	1825	0	10	1	1
300	500	0	1825	1	10	1	1
850	1000	0	1825	1	10	1	1
9500	10000	0	730	1	10	1	1
275	500	0	1825	1	10	1	1
950	1000	0	730	1	10	1	1
9000	10000	0	1825	1	10	1	1
375	500	0	1825	0	10	1	1
350	500	0	1825	1	10	1	1
475	500	0	730	0	10	1	1
750	1000	0	1825	1	10	1	1
800	1000	0	1825	1	10	1	1
900	1000	0	1825	0	10	1	1
950	1000	0	1825	0	10	1	1
325	500	0	1825	0	10	1	1
9000	10000	0	365	0	11	1	1
375	10000	0	7	1	11	1	1
45	100	0	7	1	11	1	1
6000	10000	0	30	1	11	1	1
45	100	0	180	0	11	1	1
225	500	0	365	0	11	1	1
325	500	0	7	0	11	1	1
275	500	0	7	1	11	1	1
6000	10000	0	180	0	11	1	1
500	1000	0	30	1	11	1	1
600	1000	0	30	1	11	1	1
5500	10000	0	90	1	11	1	1
550	1000	0	90	0	11	1	1
5500	10000	0	180	0	11	1	1
375	1000	0	90	0	11	1	1
4500	10000	0	180	0	11	1	1
6000	10000	0	90	0	11	1	1
4000	10000	0	180	0	11	1	1
325	1000	0	90	1	11	1	1
5000	10000	0	90	0	11	1	1
1500	10000	0	365	0	11	1	1
3500	10000	0	90	1	11	1	1
350	1000	0	90	1	11	1	1
400	1000	0	90	1	11	1	1
425	1000	0	90	1	11	1	1
4000	10000	0	90	1	11	1	1
225	500	0	90	0	11	1	1
700	1000	0	30	1	11	1	1
9000	10000	0	7	1	11	1	1
3500	10000	0	180	0	11	1	1
450	1000	0	90	1	11	1	1
500	1000	0	90	0	11	1	1
3000	10000	0	180	0	11	1	1
475	1000	0	90	1	11	1	1
550	1000	0	90	0	11	1	1
325	1000	0	180	1	11	1	1
350	1000	0	180	0	11	1	1
300	1000	0	180	1	11	1	1
750	1000	0	30	1	11	1	1
375	1000	0	180	0	11	1	1
8000	10000	0	365	1	12	1	1
950	1000	0	1825	0	12	1	1
9500	10000	0	1825	0	12	1	1
50	100	0	90	1	12	1	1
5000	10000	0	1825	0	12	1	1
5500	10000	0	365	1	12	1	1
375	500	0	1825	0	12	1	1
4500	10000	0	1825	1	12	1	1
8500	10000	0	365	1	12	1	1
6000	10000	0	1825	1	12	1	1
500	1000	0	365	1	12	1	1
9000	10000	0	1825	0	12	1	1
375	1000	0	1825	0	12	1	1
7000	10000	0	1825	0	12	1	1
275	1000	0	1825	0	12	1	1
300	1000	0	1825	0	12	1	1
400	500	0	90	0	12	1	1
475	1000	0	180	1	12	1	1
325	500	0	180	1	12	1	1
6500	10000	0	1825	1	12	1	1
425	500	0	60	1	12	1	1
90	500	0	1825	0	12	1	1
70	100	0	30	1	12	1	1
40	100	0	180	1	12	1	1
9000	10000	0	365	0	12	1	1
6000	10000	0	1825	1	12	1	1
9500	10000	0	180	1	12	1	1
250	500	0	365	1	12	1	1
85	500	0	1825	0	12	1	1
400	500	0	90	1	12	1	1
650	1000	0	365	1	12	1	1
95	500	0	1825	0	12	1	1
65	100	0	60	1	12	1	1
90	500	0	1825	0	12	1	1
55	100	0	90	1	12	1	1
60	100	0	90	1	12	1	1
70	100	0	60	0	12	1	1
275	1000	0	1825	1	12	1	1
350	500	0	180	1	12	1	1
6500	10000	0	1825	1	12	1	1
300	1000	0	1825	0	12	1	1
9000	10000	0	365	1	13	1	1
70	100	0	1825	0	13	1	1
9500	10000	0	1825	0	13	1	1
500	1000	0	730	1	13	1	1
325	500	0	730	1	13	1	1
850	1000	0	1825	0	13	1	1
55	100	0	730	1	13	1	1
8500	10000	0	1825	1	13	1	1
55	100	0	1825	0	13	1	1
9000	10000	0	1825	1	13	1	1
65	100	0	730	0	13	1	1
85	100	0	180	0	13	1	1
700	1000	0	1825	0	13	1	1
275	500	0	1825	1	13	1	1
70	100	0	365	1	13	1	1
850	1000	0	730	1	13	1	1
300	500	0	1825	1	13	1	1
325	500	0	1825	0	13	1	1
750	1000	0	1825	0	13	1	1
400	500	0	730	0	13	1	1
35	100	0	1825	1	13	1	1
50	100	0	730	1	13	1	1
75	100	0	365	1	13	1	1
60	100	0	730	1	13	1	1
375	500	0	730	1	13	1	1
40	100	0	1825	1	13	1	1
9500	10000	0	730	1	13	1	1
650	1000	0	1825	1	13	1	1
9500	10000	0	1825	0	13	1	1
350	500	0	1825	0	13	1	1
450	500	0	365	1	13	1	1
9000	10000	0	1825	1	13	1	1
475	500	0	180	0	13	1	1
85	100	0	180	0	13	1	1
700	1000	0	1825	1	13	1	1
800	1000	0	1825	0	13	1	1
275	500	0	1825	1	13	1	1
55	100	0	730	1	13	1	1
300	500	0	1825	1	13	1	1
325	500	0	1825	1	13	1	1
9000	10000	0	365	0	14	1	1
375	10000	0	7	1	14	1	1
45	100	0	7	1	14	1	1
6000	10000	0	30	0	14	1	1
50	100	0	30	1	14	1	1
250	500	0	180	0	14	1	1
4000	10000	0	7	1	14	1	1
200	500	0	90	0	14	1	1
475	1000	0	14	0	14	1	1
400	1000	0	7	1	14	1	1
4500	10000	0	7	1	14	1	1
550	1000	0	7	1	14	1	1
5500	10000	0	7	1	14	1	1
475	1000	0	21	0	14	1	1
6500	10000	0	7	1	14	1	1
4500	10000	0	30	1	14	1	1
5500	10000	0	30	1	14	1	1
7500	10000	0	14	0	14	1	1
6500	10000	0	21	0	14	1	1
450	1000	0	14	1	14	1	1
500	1000	0	14	1	14	1	1
550	1000	0	14	0	14	1	1
400	1000	0	21	0	14	1	1
425	1000	0	14	0	14	1	1
400	1000	0	14	1	14	1	1
7000	10000	0	14	1	14	1	1
650	1000	0	7	1	14	1	1
425	1000	0	21	1	14	1	1
450	1000	0	21	0	14	1	1
375	1000	0	21	1	14	1	1
475	1000	0	14	1	14	1	1
600	1000	0	14	1	14	1	1
500	1000	0	21	1	14	1	1
550	1000	0	21	1	14	1	1
650	1000	0	14	1	14	1	1
600	1000	0	21	1	14	1	1
500	1000	0	30	1	14	1	1
550	1000	0	30	1	14	1	1
650	1000	0	21	1	14	1	1
300	1000	0	90	0	14	1	1
9000	10000	0	365	1	15	1	1
70	100	0	1825	0	15	1	1
9500	10000	0	1825	1	15	1	1
200	500	0	1825	1	15	1	1
950	1000	0	1825	0	15	1	1
5	100	0	1825	1	15	1	1
450	500	0	1825	1	15	1	1
75	100	0	1825	0	15	1	1
65	100	0	1825	1	15	1	1
80	100	0	1825	0	15	1	1
85	100	0	1825	0	15	1	1
90	100	0	1825	1	15	1	1
40	100	0	1825	1	15	1	1
25	100	0	1825	1	15	1	1
95	100	0	1825	1	15	1	1
10	100	0	1825	1	15	1	1
15	100	0	1825	1	15	1	1
20	100	0	1825	1	15	1	1
30	100	0	1825	1	15	1	1
55	100	0	1825	1	15	1	1
60	100	0	1825	1	15	1	1
50	100	0	1825	1	15	1	1
90	100	0	730	1	15	1	1
70	100	0	1825	1	15	1	1
9500	10000	0	1825	1	15	1	1
45	100	0	1825	1	15	1	1
35	100	0	1825	1	15	1	1
950	1000	0	1825	0	15	1	1
475	500	0	1825	1	15	1	1
75	100	0	1825	1	15	1	1
65	100	0	1825	1	15	1	1
80	100	0	1825	1	15	1	1
85	100	0	1825	1	15	1	1
90	100	0	1825	1	15	1	1
40	100	0	1825	1	15	1	1
450	500	0	1825	1	15	1	1
95	100	0	1825	1	15	1	1
425	500	0	1825	1	15	1	1
900	1000	0	1825	1	15	1	1
25	100	0	1825	1	15	1	1
8000	10000	0	365	0	16	1	1
35	10000	0	7	1	16	1	1
3500	10000	0	21	1	16	1	1
50	100	0	14	1	16	1	1
9500	10000	0	1825	0	16	1	1
300	500	0	365	0	16	1	1
5000	10000	0	14	1	16	1	1
275	500	0	21	1	16	1	1
4500	10000	0	180	1	16	1	1
450	1000	0	180	1	16	1	1
650	1000	0	365	0	16	1	1
4000	10000	0	365	1	16	1	1
4000	10000	0	1825	0	16	1	1
200	500	0	180	0	16	1	1
2500	10000	0	1825	0	16	1	1
6000	10000	0	365	0	16	1	1
475	1000	0	365	0	16	1	1
8500	10000	0	90	0	16	1	1
475	1000	0	90	1	16	1	1
475	1000	0	180	0	16	1	1
4500	10000	0	365	0	16	1	1
425	1000	0	180	0	16	1	1
650	1000	0	60	1	16	1	1
175	500	0	180	0	16	1	1
6500	10000	0	180	0	16	1	1
400	1000	0	180	0	16	1	1
550	1000	0	90	1	16	1	1
6000	10000	0	180	0	16	1	1
100	500	0	365	0	16	1	1
250	500	0	90	1	16	1	1
300	500	0	60	0	16	1	1
9500	10000	0	14	1	16	1	1
7500	10000	0	90	1	16	1	1
95	500	0	365	0	16	1	1
40	100	0	60	1	16	1	1
375	500	0	30	0	16	1	1
60	1000	0	1825	0	16	1	1
650	1000	0	60	1	16	1	1
45	100	0	60	1	16	1	1
6000	10000	0	180	1	16	1	1
4500	10000	0	365	0	16	1	1
9000	10000	0	365	1	17	1	1
70	100	0	1825	0	17	1	1
9500	10000	0	1825	0	17	1	1
500	1000	0	730	1	17	1	1
325	500	0	730	1	17	1	1
850	1000	0	1825	0	17	1	1
55	100	0	730	1	17	1	1
8500	10000	0	1825	1	17	1	1
55	100	0	1825	1	17	1	1
9000	10000	0	1825	0	17	1	1
900	1000	0	730	1	17	1	1
375	500	0	1825	0	17	1	1
800	1000	0	1825	0	17	1	1
80	100	0	730	0	17	1	1
750	1000	0	1825	1	17	1	1
9500	10000	0	730	1	17	1	1
950	1000	0	365	0	17	1	1
60	100	0	1825	0	17	1	1
75	100	0	730	0	17	1	1
350	500	0	1825	0	17	1	1
425	500	0	730	1	17	1	1
50	100	0	1825	0	17	1	1
700	1000	0	1825	0	17	1	1
650	1000	0	1825	1	17	1	1
600	1000	0	1825	1	17	1	1
9500	10000	0	1825	0	17	1	1
325	500	0	1825	0	17	1	1
300	500	0	1825	1	17	1	1
850	1000	0	1825	0	17	1	1
275	500	0	1825	1	17	1	1
400	500	0	1825	0	17	1	1
9000	10000	0	1825	0	17	1	1
250	500	0	1825	1	17	1	1
375	500	0	1825	1	17	1	1
800	1000	0	1825	0	17	1	1
425	500	0	1825	0	17	1	1
750	1000	0	1825	0	17	1	1
9500	10000	0	730	0	17	1	1
8500	10000	0	1825	1	17	1	1
225	500	0	1825	1	17	1	1
9000	10000	0	365	0	18	1	1
375	10000	0	7	1	18	1	1
45	100	0	7	1	18	1	1
6000	10000	0	30	1	18	1	1
45	100	0	180	1	18	1	1
250	500	0	1825	0	18	1	1
70	100	0	365	0	18	1	1
300	500	0	90	0	18	1	1
250	500	0	30	1	18	1	1
5500	10000	0	180	1	18	1	1
550	1000	0	180	1	18	1	1
4000	10000	0	1825	1	18	1	1
550	1000	0	365	0	18	1	1
5000	10000	0	1825	1	18	1	1
5500	10000	0	1825	1	18	1	1
6000	10000	0	1825	1	18	1	1
6500	10000	0	1825	0	18	1	1
500	1000	0	365	1	18	1	1
475	1000	0	365	1	18	1	1
8000	10000	0	730	0	18	1	1
600	1000	0	365	0	18	1	1
425	1000	0	730	1	18	1	1
400	1000	0	730	1	18	1	1
450	1000	0	730	1	18	1	1
650	1000	0	730	0	18	1	1
500	1000	0	730	0	18	1	1
475	1000	0	730	0	18	1	1
375	1000	0	730	1	18	1	1
650	1000	0	365	1	18	1	1
550	1000	0	730	0	18	1	1
700	1000	0	365	0	18	1	1
350	1000	0	730	1	18	1	1
250	1000	0	1825	1	18	1	1
275	1000	0	1825	1	18	1	1
275	500	0	365	1	18	1	1
800	1000	0	180	1	18	1	1
300	1000	0	1825	1	18	1	1
600	1000	0	730	0	18	1	1
6000	10000	0	1825	0	18	1	1
750	1000	0	365	0	18	1	1
9000	10000	0	365	0	19	1	1
375	10000	0	7	1	19	1	1
45	100	0	7	1	19	1	1
6000	10000	0	30	1	19	1	1
45	100	0	180	1	19	1	1
250	500	0	1825	0	19	1	1
70	100	0	365	0	19	1	1
300	500	0	90	1	19	1	1
4000	10000	0	730	1	19	1	1
50	100	0	365	0	19	1	1
9000	10000	0	180	1	19	1	1
550	1000	0	730	0	19	1	1
175	500	0	730	0	19	1	1
600	1000	0	365	0	19	1	1
4000	10000	0	1825	1	19	1	1
475	1000	0	365	1	19	1	1
7500	10000	0	730	0	19	1	1
5000	10000	0	1825	1	19	1	1
8500	10000	0	365	0	19	1	1
400	1000	0	730	0	19	1	1
350	1000	0	730	1	19	1	1
550	1000	0	365	1	19	1	1
150	500	0	730	0	19	1	1
225	500	0	365	0	19	1	1
375	1000	0	730	1	19	1	1
200	1000	0	1825	1	19	1	1
70	500	0	1825	0	19	1	1
425	1000	0	730	1	19	1	1
450	1000	0	730	1	19	1	1
475	1000	0	730	1	19	1	1
500	1000	0	730	1	19	1	1
650	1000	0	365	1	19	1	1
700	1000	0	365	0	19	1	1
550	1000	0	730	0	19	1	1
275	1000	0	1825	1	19	1	1
600	1000	0	730	1	19	1	1
650	1000	0	730	1	19	1	1
375	1000	0	1825	1	19	1	1
350	1000	0	1825	1	19	1	1
400	1000	0	1825	1	19	1	1
9000	10000	0	365	0	20	1	1
375	10000	0	7	1	20	1	1
45	100	0	7	1	20	1	1
6000	10000	0	30	1	20	1	1
45	100	0	180	0	20	1	1
225	500	0	365	0	20	1	1
250	500	0	14	1	20	1	1
7000	10000	0	180	0	20	1	1
50	100	0	21	0	20	1	1
3500	10000	0	180	1	20	1	1
450	1000	0	90	1	20	1	1
475	1000	0	90	1	20	1	1
5500	10000	0	365	1	20	1	1
6000	10000	0	730	0	20	1	1
6500	10000	0	365	1	20	1	1
425	1000	0	180	1	20	1	1
6500	10000	0	730	0	20	1	1
475	1000	0	180	1	20	1	1
450	1000	0	365	1	20	1	1
500	1000	0	365	1	20	1	1
500	1000	0	730	0	20	1	1
550	1000	0	365	0	20	1	1
5000	10000	0	730	1	20	1	1
5500	10000	0	730	1	20	1	1
3500	10000	0	1825	0	20	1	1
475	1000	0	365	1	20	1	1
350	1000	0	730	1	20	1	1
600	1000	0	365	0	20	1	1
375	1000	0	730	1	20	1	1
400	1000	0	730	0	20	1	1
425	1000	0	730	1	20	1	1
450	1000	0	730	0	20	1	1
475	1000	0	730	0	20	1	1
325	1000	0	730	1	20	1	1
7000	10000	0	365	0	20	1	1
3000	10000	0	1825	1	20	1	1
650	1000	0	365	0	20	1	1
700	1000	0	180	0	20	1	1
300	1000	0	730	1	20	1	1
750	1000	0	180	0	20	1	1
